PROJ_ID,GEO_LOC_ID,PLACE_ID,WBG_CNTRY_KEY,ISO_CNTRY_CODE,GEO_LOC_NME,GEO_LATITUDE_NBR,GEO_LONGITUDE_NBR,ADMIN_UNIT1_CODE,ADMIN_UNIT1_NAME,ADMIN_UNIT2_CODE,ADMIN_UNIT2_NAME,FEAT_CLASS_CODE,FEAT_CLASS_NAME,FEAT_CLASS_TEXT,FEAT_CODE,FEAT_NAME,POP_CNT,PROPOSED_IND,ACT_IND,SAP_UPD_DATE,SAP_UPD_USER_ID,UPD_DATE,LAST_CHGD_BY
P146330,10399958,PLA0072426,,NG,Alaoji Power Station,5.06667,7.32333,,,,,S.PS,power station,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2337706,PLA0072427,,NG,Ilerin,7.6,4.76667,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2337638,PLA0072428,,NG,Ilorin,10.88189,4.00716,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2325190,PLA0072429,,NG,Oyo State,8.0,4.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8634913,PLA0072430,,NG,Kontagora,10.45225,5.4795,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,7730013,PLA0072431,,NG,Yauri,10.77643,4.74197,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2322907,PLA0072432,,NG,Sokoto State,13.08333,5.25,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8634256,PLA0072433,,NG,Hadejia,12.43487,10.05266,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8659873,PLA0072434,,NG,Potiskum,11.71064,11.15721,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2345522,PLA0072435,,NG,Damaturu,11.44188,11.41351,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8659775,PLA0072436,,NG,Jalingo,8.9195,11.32642,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8659808,PLA0072437,,NG,Numan,9.45371,11.83665,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2336575,PLA0072438,,NG,Jalingo,11.3994,10.0587,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2345509,PLA0072439,,NG,Dambam,11.67893,10.70792,,,,,P.PPLA2,seat of a second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2347468,PLA0072440,,NG,Bauchi State,10.5,10.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9412725,PLA0072441,,NG,Yola,11.6791,9.97466,,,,,A.ADM3,third-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2347283,PLA0072442,,NG,Benin City,6.33815,5.62575,,,,,P.PPLA,seat of a first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2343982,PLA0072443,,NG,Effurun,5.55629,5.78459,,,,,P.PPLA2,seat of a second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2326168,PLA0072444,,NG,Ondo State,7.16667,5.08333,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8636371,PLA0072445,,NG,Osogbo,7.75963,4.57625,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9182357,PLA0072446,,NG,Umumba,6.13612,7.33253,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,10376619,PLA0072447,,NG,Ugwuaji,6.40535,7.55722,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9192328,PLA0072448,,NG,Onitsha-Agu,6.35288,7.70556,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,11205234,PLA0072449,,NG,New Haven,6.46017,7.52197,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2324774,PLA0072450,,NG,Port Harcourt,4.77742,7.0134,,,,,P.PPLA,seat of a first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2330706,PLA0072451,,NG,Maryland,6.57644,3.36243,,,,,P.PPLX,section of populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2325458,PLA0072452,,NG,Otta,6.66667,3.73333,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2337017,PLA0072453,,NG,Itire,6.49152,3.32557,,,,,P.PPLX,section of populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,7871294,PLA0072454,,NG,Amuwo Odofin,6.472,3.263,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,10418792,PLA0072455,,NG,Akoka,6.52537,3.39657,,,,,P.PPLX,section of populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2339553,PLA0072456,,NG,Alausa,6.60961,3.35658,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2566698,PLA0072457,,NG,Alagba,6.61672,3.30112,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2332121,PLA0072458,,NG,Lekki,6.40948,4.09152,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2338360,PLA0072459,,NG,Ijora Village,6.46667,3.36667,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8632706,PLA0072460,,NG,Birnin Kebbi,12.45832,4.26267,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,8633552,PLA0072461,,NG,Katsina,13.00564,7.61433,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9410762,PLA0072462,,NG,Kunchi,12.5128,8.27961,,,,,A.ADM3,third-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,6974934,PLA0072463,,NG,Ingawa,12.96083,8.42168,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,10308986,PLA0072464,,NG,Mokwa,9.004,5.98361,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2319078,PLA0072465,,NG,Wawa,9.90222,4.41917,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,7065509,PLA0072466,,NG,Chalawa,11.88313,8.45738,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2317765,PLA0072467,,NG,Zaria,11.11128,7.7227,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2352777,PLA0072468,,NG,Abuja,9.24703,6.93135,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2328925,PLA0072469,,NG,Niger State,10.0,6.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,2323128,PLA0072470,,NG,Shiroro,9.99258,6.81865,,,,,P.PPL,populated place,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,7729910,PLA0072471,,NG,Kankia,12.46667,7.8,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9411000,PLA0072472,,NG,Dakata,12.02453,8.57909,,,,,A.ADM3,third-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9410503,PLA0072473,,NG,Dan Agundi,11.98359,8.52297,,,,,A.ADM3,third-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P146330,9410960,PLA0072474,,NG,Kumbotso,11.89041,8.50593,,,,,A.ADM3,third-order administrative division,,,,0,,,,,2018-06-21,RFC-PROJECTS
P169405,2332459,PLA0080933,,NG,Lagos,6.45407,3.39467,,,,,P.PPLA2,seat of a second-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P169405,2325329,PLA0080994,,NG,Owerri,5.75,7.11667,,,,,P.PPL,populated place,,,,0,,,,,2020-04-17,RFC-PROJECTS
P169405,9485482,PLA0080995,,NG,Makurdi Local Government Area,7.73753,8.52296,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P169405,2347283,PLA0080996,,NG,Benin City,6.33815,5.62575,,,,,P.PPLA,seat of a first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P169405,2347468,PLA0080997,,NG,Bauchi State,10.5,10.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P169405,2317765,PLA0080998,,NG,Zaria,11.11128,7.7227,,,,,P.PPL,populated place,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,8635167,PLA0081007,,NG,Ekiti,8.11799,5.32035,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2340451,PLA0081008,,NG,Gombe,10.28969,11.16729,,,,,P.PPLA,seat of a first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,8633821,PLA0081009,,NG,Kano Municipal,11.98157,8.51898,,,,,A.ADM2,second-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2352947,PLA0081010,,NG,Abeokuta,7.15571,3.34509,,,,,P.PPLA,seat of a first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2332453,PLA0081011,,NG,Lagos State,6.53774,3.3522,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2334797,PLA0081012,,NG,Katsina State,12.25,7.5,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2335722,PLA0081013,,NG,Kaduna State,10.33333,7.75,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-04-17,RFC-PROJECTS
P166239,2335196,PLA0081014,,NG,Kano State,11.5,8.5,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2322907,PLA0081015,,NG,Sokoto State,13.08333,5.25,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2335196,PLA0081016,,NG,Kano State,11.5,8.5,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2335722,PLA0081017,,NG,Kaduna State,10.33333,7.75,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2347468,PLA0081018,,NG,Bauchi State,10.5,10.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2324828,PLA0081019,,NG,Plateau State,9.16667,9.75,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2325190,PLA0081020,,NG,Oyo State,8.0,4.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2595348,PLA0081021,,NG,Nasarawa State,8.5,8.25,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2332785,PLA0081022,,NG,Kwara State,8.5,5.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2597364,PLA0081023,,NG,Kogi State,7.75,6.75,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2595345,PLA0081024,,NG,Ebonyi State,6.25,8.08333,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2347266,PLA0081025,,NG,Benue State,7.33333,8.75,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2565342,PLA0081026,,NG,Adamawa State,9.33333,12.5,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2324433,PLA0081027,,NG,Rivers State,4.74974,6.82766,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2332453,PLA0081028,,NG,Lagos State,6.53774,3.3522,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2337542,PLA0081029,,NG,Imo State,5.5,7.16667,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2595346,PLA0081030,,NG,Ekiti State,7.66667,5.25,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2346794,PLA0081031,,NG,Borno State,11.5,13.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P167156,2565340,PLA0081032,,NG,Abia State,5.41667,7.5,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-04-17,RFC-PROJECTS
P173104,2597367,PLA0082315,,NG,Yobe State,12.0,11.5,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-06-22,RFC-PROJECTS
P173104,2565342,PLA0082316,,NG,Adamawa State,9.33333,12.5,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-06-22,RFC-PROJECTS
P173104,2346794,PLA0082317,,NG,Borno State,11.5,13.0,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-06-22,RFC-PROJECTS
P173104,2328926,PLA0082318,,NG,Federal Republic of Nigeria,10.0,8.0,,,,,PCLI,independent political entity,,A,,0,,,,,2020-06-22,RFC-PROJECTS
P167183,2328926,PLA0083104,,NG,Federal Republic of Nigeria,10.0,8.0,,,,,A.PCLI,independent political entity,,,,0,,,,,2020-07-07,RFC-PROJECTS
P163353,2334797,PLA0081414,,NG,Katsina State,12.25,7.5,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-05-04,RFC-PROJECTS
P163353,2347468,PLA0081415,,NG,Bauchi State,10.5,10.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-05-04,RFC-PROJECTS
P163353,2597363,PLA0081416,,NG,Kebbi State,11.5,4.0,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-05-04,RFC-PROJECTS
P163353,2322907,PLA0081417,,NG,Sokoto State,13.08333,5.25,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-05-04,RFC-PROJECTS
P163353,2327546,PLA0081418,,NG,Ogun State,7.0,3.58333,,,,,A.ADM1,first-order administrative division,,,,0,,,,,2020-05-04,RFC-PROJECTS
P163353,2326168,PLA0081419,,NG,Ondo State,7.16667,5.08333,,,,,ADM1,first-order administrative division,,A,,0,,,,,2020-05-04,RFC-PROJECTS
